Estado,Ano,venda_comb
SP,2007,28631126.1001967
SP,2008,31149645.5666973
SP,2009,31967721.0424515
SP,2010,33753237.8630886
SP,2011,34570337.519275
SP,2012,35335768.220203
SP,2013,36824484.412937
SP,2014,38008181.3478
SP,2015,37829502.2256626
SP,2016,36601054.1669
SP,2017,36499225.4393
SP,2018,37842219.2526
SP,2019,39443871.8996
SP,2020,34822451.0106
SP,2021,35646954.8901
SP,2022,37527059.7245
SP,2023,39322250.7984
TO,2003,584609.88581031
TO,2004,645101.27834961
TO,2005,655605.20965414
TO,2006,674354.42683045
TO,2007,805870.38014123
TO,2008,902289.10007988
TO,2009,903932.67868518
TO,2010,1024183.7559332
TO,2011,1067869.4625683
TO,2012,1183619.75087412
TO,2013,1291890.5401298
TO,2014,1387372.943006
TO,2015,1382477.5293134
TO,2016,1319106.967058
TO,2017,1407115.090438
TO,2018,1437218.659233
TO,2019,1514456.531913
TO,2020,1610306.269086
TO,2021,1697142.991421
TO,2022,1767211.099275
TO,2023,1823804.729117
