Estado,Ano,temp_media,chuva_media
PB,2006,22.609647001934235,468.9
PB,2007,24.246139883366162,378.1666666666667
PB,2008,24.83640800615858,1151.875
PB,2009,25.053164095712376,1345.85
PB,2010,25.45105519751561,696.2750000000001
PB,2011,25.02972141514271,1063.025
PB,2012,25.22349886506524,447.45
PB,2013,25.57932476571324,799.6
PB,2014,25.149063505999415,899.6
PB,2015,25.66316482843137,638.7
PB,2016,25.61778819149107,620.7
PB,2017,25.610063348941043,644.0666666666666
PB,2018,25.658283716227604,621.8000000000001
PB,2019,25.87754344294743,784.9777777777778
PB,2020,25.58816195222776,785.375
PB,2021,25.56556539596971,391.85
PB,2022,25.061320919037893,1017.3000000000001
PB,2023,25.72320260976402,810.6
PE,2003,26.960454908220274,245.2
PE,2004,26.669308943089433,781.6
PE,2005,25.4460324880215,1236.4666666666665
PE,2006,25.46925442291491,897.3333333333334
PE,2007,24.832731894841274,611.0
PE,2008,24.573948746991363,575.0909090909091
PE,2009,24.984754853570255,855.2363636363636
PE,2010,25.074872738020954,761.6333333333333
PE,2011,24.751987689151065,926.35
PE,2012,25.251861382741463,380.1166666666666
PE,2013,25.5535755126183,687.1333333333333
PE,2014,24.985988158731708,667.9166666666666
PE,2015,25.771289903133788,455.61666666666673
PE,2016,25.616445410962292,454.8666666666666
PE,2017,25.341302411272853,593.7384615384616
PE,2018,25.346740277024697,564.7846153846154
PE,2019,25.394374846009512,487.5692307692307
PE,2020,25.2084808425925,583.4769230769231
PE,2021,25.90376011141071,419.5692307692308
PE,2022,24.6073000997009,448.2181818181818
PE,2023,25.267385479971246,504.18333333333334
PI,2003,27.018501000545754,843.0
PI,2004,26.81964285714286,574.8000000000001
PI,2005,27.879468079525786,491.3333333333333
PI,2006,27.24589263928426,751.8666666666668
PI,2007,28.870098948670375,121.02000000000001
PI,2008,26.836013517507737,873.5
PI,2009,26.675450939792064,1060.0111111111112
PI,2010,27.518266200979465,717.0
PI,2011,26.850254318807735,792.978947368421
PI,2012,27.862426541924403,462.6947368421052
PI,2013,27.811986100881914,642.3368421052631
PI,2014,27.40901643996292,635.6842105263158
PI,2015,28.264463181196696,473.8526315789473
PI,2016,28.397284668168787,593.7473684210526
PI,2017,27.84418445738851,633.6842105263158
PI,2018,27.285636801928483,684.952380952381
PI,2019,27.669905807883385,614.2857142857143
PI,2020,26.898028967355526,772.8111111111111
PI,2021,27.442630682892993,676.1714285714286
PI,2022,27.332054687000884,500.35
PI,2023,27.713813436190797,726.54
PR,2003,17.094208893485003,216.20000000000005
PR,2005,16.090124911619135,964.8000000000002
PR,2006,19.16100659903477,397.6666666666667
PR,2007,20.333316939722746,1215.1846153846154
PR,2008,19.790657506020207,1257.9619047619049
PR,2009,20.38829679959665,1568.1904761904761
PR,2010,20.168075266585372,1204.152380952381
PR,2011,19.72087857578929,1357.7826086956522
PR,2012,20.550011663049432,1386.817391304348
PR,2013,19.810319969845775,1558.878260869565
PR,2014,20.76285926856166,1458.7913043478259
PR,2015,20.725021040228917,1558.8608695652176
PR,2016,19.816341186589916,1269.723076923077
PR,2017,20.499240597014925,1586.9461538461537
PR,2018,20.098452551853867,1249.2923076923075
PR,2019,21.06176623964421,1273.3384615384616
PR,2020,20.420074387906247,895.123076923077
PR,2021,19.96924518559599,650.8272727272728
PR,2022,19.868045271380982,1110.9478260869564
PR,2023,20.597649708869906,1451.6307692307694
RJ,2003,23.443386050283863,993.65
RJ,2004,22.99427241700279,603.4
RJ,2005,23.21777986241401,1075.95
RJ,2006,22.55423455433741,530.6
RJ,2007,21.922065156587138,1164.9857142857143
RJ,2008,21.461156902423376,1645.7333333333333
RJ,2009,22.5498140927562,1584.3733333333334
RJ,2010,22.131967514245737,1482.2625
RJ,2011,21.46097988871404,1320.575
RJ,2012,21.79486918285086,1257.1875
RJ,2013,21.563789058135637,1501.975
RJ,2014,22.117506159220444,1007.0500000000001
RJ,2015,22.842575693523226,957.7111111111111
RJ,2016,22.270057025155914,1292.31
RJ,2017,21.954493125303628,1032.8260869565217
RJ,2018,21.852995093677215,1373.1384615384616
RJ,2019,22.221370523568318,1522.607692307692
RJ,2020,21.957583748313876,1448.2230769230769
RJ,2021,21.35485998062015,1264.223076923077
RJ,2022,21.892716767311818,1523.1307692307694
RJ,2023,22.61684229635074,1380.776923076923
RN,2003,26.647737909516383,457.6
RN,2004,26.295845603702148,1702.4
RN,2005,26.042074396782844,768.0999999999999
RN,2006,26.572689581382903,635.3000000000001
RN,2007,27.271760546355615,374.43333333333334
RN,2008,26.97064914930832,991.2
RN,2009,26.817899742880893,1465.8999999999999
RN,2010,27.583704652630797,472.2285714285714
RN,2011,26.707409410492158,1085.0857142857144
RN,2012,27.297718183956714,423.45714285714286
RN,2013,27.536300343703182,599.2571428571429
RN,2014,27.315581735159817,553.3714285714286
RN,2015,27.46405093224193,484.85714285714283
RN,2016,27.778316302438473,484.65714285714284
RN,2017,27.489769927473365,495.725
RN,2018,27.404598348626575,499.59999999999997
RN,2019,27.338385913196184,765.25
RN,2020,28.065024694567196,779.9714285714286
RN,2021,29.634268550303673,138.4
RN,2022,27.850891861761426,165.925
RN,2023,27.798271478276387,330.97142857142853
RO,2007,26.30624846851262,751.6
RO,2008,25.93418049792531,1181.9
RO,2009,25.485719793582064,2120.75
RO,2010,26.021452417704708,1354.1499999999999
RO,2011,25.420293612470427,2039.4
RO,2012,25.46600215360438,2026.95
RO,2013,25.365693961429024,2257.35
RO,2014,25.499220054019606,2012.2
RO,2015,26.296597333333334,1466.65
RO,2016,26.182128329615537,1745.15
RO,2017,26.017008043997844,1358.2333333333333
RO,2018,25.700383815028903,1310.857142857143
RO,2019,26.011403978833144,1938.1499999999999
RO,2020,25.995195195195194,1522.9333333333334
RO,2021,25.01166885031117,684.6
RO,2022,25.60305884018976,1182.3999999999999
RO,2023,26.74138196146269,772.5
RR,2010,27.918094924192484,447.0
RR,2011,27.196971774654326,2110.4
RR,2012,27.417904328018224,809.6
RR,2013,27.446855705465357,1554.4
RR,2014,27.875487396001493,598.0000000000001
RR,2015,28.225825619929154,26.6
RR,2016,27.97457649205108,1529.7999999999997
RR,2017,26.0514924365208,1073.5333333333333
RR,2018,26.601303563999444,1166.8666666666666
RR,2019,27.66994292237443,2178.8
RR,2020,27.557841726618705,1320.6
RR,2021,28.80469483568075,24.199999999999996
RR,2022,26.700564384375465,50.6
RR,2023,27.447340916077472,1636.7999999999997
RS,2003,18.586451024017343,1260.8
RS,2004,19.269086603518268,690.4399999999999
RS,2005,18.671679190580438,1105.92
RS,2006,19.29399413827896,612.3875
RS,2007,18.150956898711428,1364.9076923076923
RS,2008,17.955010835467593,1309.7818181818182
RS,2009,18.139914570967854,1782.7176470588236
RS,2010,18.059847209417295,1530.9142857142858
RS,2011,17.954337254320055,1463.594285714286
RS,2012,18.788926682941945,1207.6648648648647
RS,2013,17.9195575540479,1529.084210526316
RS,2014,19.056277101612434,1851.5351351351353
RS,2015,18.956683353071725,1834.1135135135135
RS,2016,18.192916998312587,1378.0238095238096
RS,2017,19.024473850178694,1753.452380952381
RS,2018,18.440389485754512,1565.6837209302323
RS,2019,18.87226639861992,1582.2590909090907
RS,2020,18.67770419116306,1147.6000000000001
RS,2021,18.26931757498225,1150.9333333333332
RS,2022,18.160263363082212,1230.9377777777777
RS,2023,19.165980871766813,1910.9511111111112
