Estado,Ano,co2,frota,rebanho,venda_comb,desmat_area,temp_media,chuva_media,area_destinada_colheita,area_colhida,consumo_energia_industrial,frp_anual_queimadas
ES,2007,25808194.88066482,907190.0,2142342.0,2133668.274398807,12410.30536721802,24.20268663541786,809.0,747425,747298,4450743.0,26346.9
ES,2008,23818104.46855134,1022846.0,2120017.0,2109202.889958321,12478.389656799314,23.91889220868766,1508.2,733297,733091,4368452.0,12186.2
ES,2009,24712771.79364225,1131836.0,2187235.0,2076816.1347936501,13505.24672043456,24.625011441647594,1905.0,726017,725997,3539186.0,4847.3
ES,2010,28639714.048798405,1228434.0,2195406.0,2201757.093353326,15799.765285198982,24.267850616719965,1429.8000000000002,692698,692680,4693683.0,8086.4
ES,2011,30951856.904069908,1330385.0,2223262.0,2194553.6154982,13856.908878369133,23.634503258259976,1732.0,694209,694202,4961461.0,11080.9
ES,2012,31692487.971824244,1440999.0,2285345.0,2418767.95806101,15067.92425323487,24.097298529579387,1862.0,687664,687599,4899050.0,10939.8
ES,2013,34305865.823283754,1541045.0,2313445.0,2666315.31376955,15751.39898740845,23.96962344054023,2207.0,675834,674028,4995217.0,6677.4
ES,2014,34523346.73197899,1637949.0,2295624.0,2841503.829029,17940.76618026735,24.2509449370042,1109.8000000000002,658030,657624,5118085.0,9010.4
ES,2015,35107749.258349165,1706683.0,2223531.0,2704680.10013123,20691.14245642097,25.144331288343558,783.8,652000,644523,4900719.0,36720.2
ES,2016,33881927.256078325,1758104.0,2044771.0,2358888.35647,16904.46794368897,24.76916771034954,1020.4000000000001,616289,613805,3830181.0,36916.6
ES,2017,33118402.770128854,1812220.0,1937604.0,2420502.48007,15789.246828131105,23.974651457541192,1224.2,584314,584247,3891372.0,5473.6
ES,2018,31841472.74151465,1877231.0,1976903.0,2445892.19266,13047.812571667495,24.23883106485188,1796.8000000000002,567298,558885,4143898.0,4471.6
ES,2019,30152089.10767513,1948335.0,2006027.0,2427802.32728,11427.953155004881,24.83454167628723,1523.1999999999998,558348,558258,4007130.2200000007,24954.6
ES,2020,30320720.06090762,2011766.0,2106299.0,2430508.49079,10120.792908978276,,,565189,565046,3773783.801,9196.1
ES,2021,33070582.526092924,2089853.0,2213129.0,2899497.2071,8624.285086236563,,,578997,578947,4125179.934000001,14130.6
ES,2022,31014781.5366848,2173788.0,2231036.0,2690345.27938,16380.626014636226,,,599842,599778,4044776.611,12035.8
ES,2023,29566932.231589705,2277280.0,2179082.0,2720646.71115,13155.546896154763,,,609649,609499,4368022.234,19664.0
GO,2004,97447994.23550408,1282510.0,20419803.0,3396094.32184,246785.2670903866,,,4307207,4289294,2726024.6879999996,377149.60000000003
GO,2005,87316640.39609797,1390292.0,20726586.0,3397172.3463,192018.26767927868,,,4325931,4304529,2859429.4439999997,239580.9
GO,2006,79876666.66367868,1514700.0,20646560.0,3517440.47324,151986.4647467955,24.49419239904988,1651.6,4076892,4065639,2869581.513,148281.6
GO,2007,77582912.2489461,1695594.0,20471490.0,3922746.59651074,136792.57182243638,23.779986236953782,1013.8,3955025,3952008,2861412.0,614448.6
GO,2008,78300066.89494482,1908710.0,20466360.0,4386716.99333848,143206.6327040222,23.02238961640978,1673.6,4225916,4208223,3084438.0,242016.4
GO,2009,78059133.36780606,2106915.0,20874943.0,4431977.2368409,126615.29256985472,23.47214471506266,1628.4,4446666,4443982,3279931.8000000003,105740.0
GO,2010,81279872.28531551,2325634.0,21347881.0,4904752.5641585,125121.2855033508,23.722186421173763,1231.0,4510098,4509824,3281451.0,844524.7
GO,2011,79777209.72844885,2559667.0,21744650.0,5158478.1470573,121801.2490788086,23.187862068965515,1287.8,4926515,4919111,4029144.0,303557.8
GO,2012,84951469.09240024,2791397.0,22045776.0,5714176.4456251,151387.7620887269,23.393868629932133,1710.2,5282270,5281966,4665310.0,306428.1
GO,2013,86265927.22177176,3011171.0,21580398.0,6295894.7460288,166805.4268667114,23.396428980199154,1761.0,5635281,5634651,5156287.179,132187.1
GO,2014,87231517.3258291,3209732.0,21538072.0,6698647.89354,143187.76822033073,23.62230593607306,1412.0,6135462,6135201,5270892.102999999,262898.9
GO,2015,87424880.85823096,3354627.0,21887720.0,6468511.9295945,137336.66663612664,24.336680374685855,1105.3999999999999,6125209,6114291,4939174.529999999,349468.0
GO,2016,83628724.38317564,3456168.0,22919070.0,5969062.44755,119850.88614148562,24.146448087431693,1254.6,6345627,6049297,5383293.2,274631.3
GO,2017,84387238.98482083,3562117.0,22835005.0,5998266.14581,116582.11987420656,23.83220319634703,1268.0,6436529,6431544,5409447.380000001,399035.5
GO,2018,83654647.90696114,3687786.0,22651910.0,6141260.97198,109125.16940338747,23.6241894977169,1324.6,6351417,6344144,5574649.199999999,155080.4
GO,2019,87382690.46974139,3819847.0,22823401.0,6371831.67378,124424.20918692625,24.34251626898048,1212.8,6676276,6663002,5604513.001999999,572458.4
GO,2020,90726655.86524054,3948656.0,23626608.0,6339203.44873,131466.14597794806,,,6935757,6929925,5799028.934,445663.9
GO,2021,90019822.89279239,4094391.0,24293954.0,6687275.87408,133560.96414757692,,,7356576,7327842,5908728.885000001,342158.7
GO,2022,91769903.7415894,4246141.0,24410182.0,6853617.9154,131068.79616319582,,,7680156,7638596,6032719.116,246767.2
GO,2023,92831967.00270791,4409581.0,23729878.0,7178385.04148,160598.2010982728,,,8454190,8454151,6161975.658,121676.9
MA,2004,133753348.13305517,315082.0,5928131.0,1343617.991119,376726.5041738641,,,1553114,1551916,6745130.393999999,2392479.4
MA,2005,131997429.68565242,359154.0,6448948.0,1404348.35081,346820.2616469246,,,1640447,1627381,6869387.496,2188210.2
MA,2006,129652575.89574766,408735.0,6613270.0,1455531.02864,348928.2260331543,27.029332767882387,1438.6,1644964,1637776,7616225.086,1339710.9
MA,2007,134014497.03667632,477516.0,6609438.0,1609112.3563853,377906.48448899435,26.806228986020173,1677.0,1657791,1652648,7951563.0,2892147.5
MA,2008,130671315.73492138,558006.0,6816338.0,1866595.92102188,325128.3247297361,26.76352972540656,2005.0,1667117,1666510,8038281.396000001,1435043.2
MA,2009,96849035.43370128,659988.0,6885265.0,1839366.39814595,257214.74529177236,26.719192052980137,2395.0,1624638,1596422,7598496.0,1087072.9
MA,2010,87310974.86020853,789692.0,6979844.0,2140613.88430475,229693.42880433952,27.478362419629967,1566.0,1767136,1751480,7882472.0,2063491.7999999998
MA,2011,93907076.02882189,935011.0,7264106.0,2384576.876021641,233114.58852375465,26.846948356807513,1877.0,1788427,1788327,8111262.0,960325.8
MA,2012,115968724.44143006,1070613.0,7490942.0,2705060.82603106,308173.09854483017,26.975595034734088,580.6,1830190,1810460,7372669.01,1950781.0
MA,2013,118902883.20531072,1204896.0,7611324.0,2830232.23489039,315563.7053327885,27.176882039122702,639.4,1878533,1863771,6190444.0,946196.1
MA,2014,98316208.93006957,1332639.0,7758352.0,3258646.77518,261402.45402469457,26.695973490058773,1660.8000000000002,2006386,2005779,3500867.0,1329292.1
MA,2015,106302230.84583925,1445403.0,7643128.0,3305967.420478602,306942.93764718005,27.06479725870931,1444.2,1829731,1829354,1593478.0,1685353.3
MA,2016,106634722.13898696,1525597.0,7653870.0,3001190.58333,306009.0004003476,27.333135959918014,1489.1999999999998,1597851,1584338,1114852.0,1301604.4
MA,2017,95589321.1732568,1601140.0,7687695.0,3107747.0988,255483.9962086121,27.045955184200533,2123.4,1810133,1803687,1150900.0,1615383.2
MA,2018,93019999.00200804,1676798.0,7793180.0,3115587.4724,265091.6978859309,26.539492712039483,2246.8,1821742,1819981,1296830.9880000001,707733.6
MA,2019,105652490.46481438,1754708.0,8008643.0,3086752.5963,349095.1864002566,26.909345562716908,1868.2,1722710,1721828,1548462.9430000002,891919.5
MA,2020,119382331.4324789,1830681.0,8323445.0,3185679.34891,427076.7181610502,,,1719056,1719030,1592658.7260000003,853403.0
MA,2021,117197000.87619492,1912188.0,8561509.0,3529295.85311,362762.8375474316,,,1810803,1810779,1697160.9650000003,734705.3
MA,2022,153841142.33336234,1999010.0,9428128.0,3351960.5829,431776.43176756275,,,1921234,1920950,2828683.994,1017869.8
MA,2023,173423805.72165483,2096106.0,10128610.0,3529492.39196,565692.8474032269,,,2015448,2015293,5894951.161,1018096.2
MG,2004,170381652.50843292,4043690.0,21622779.0,10199613.66202,355626.1046614074,,,4813757,4719607,29883949.043,554594.0
MG,2005,172947359.73980796,4333066.0,21403680.0,10442629.28462,296841.84798399074,,,4822071,4812335,30106627.952999998,621489.6
MG,2006,169466448.81133482,4692880.0,22203154.0,10612727.77033,283016.68795240455,,,4724964,4578337,29367495.377,271778.3
MG,2007,171395024.75335884,5159396.0,22575194.0,11397193.823139701,264147.9054192629,,,4598477,4568217,32610430.0,1094108.2999999998
MG,2008,171194933.69144025,5714017.0,22369639.0,12035190.9826373,263565.67257361463,,,4740522,4703626,30670488.0,645151.4
MG,2009,159978380.21823394,6250012.0,22469791.0,12034550.0216435,251375.47076499622,,,4789178,4772071,26264375.0,175947.8
MG,2010,165559211.94286287,6858874.0,22698120.0,13175945.1636439,238198.3642650147,,,4844245,4806876,31515027.0,618534.2
MG,2011,167071156.936903,7499629.0,23907915.0,13564120.8030937,250426.728256482,,,4951412,4917082,32492120.0,552823.2
MG,2012,174059290.63480556,8116096.0,23965914.0,14099664.9389622,278937.62708082254,,,5099200,5032492,31186425.0,572310.3
MG,2013,181230094.36433417,8687869.0,24201256.0,14857864.290757399,294865.66919748497,,,5293965,5190990,30404085.0,225954.3
MG,2014,175856321.90967992,9221532.0,23707042.0,15481047.88088,267214.38163212885,,,5466054,5368786,29268148.0,554016.2
MG,2015,172766415.25856912,9646275.0,23768959.0,14965635.8394424,240702.30472234517,,,5427622,5334772,28150055.094,547347.9
MG,2016,164322115.77846748,10030301.0,23637803.0,14660926.9518,219066.72259696046,,,5534141,5373130,29283535.0,297820.4
MG,2017,156978851.40636256,10447805.0,21971713.0,14750539.3757,207031.95280625008,,,5296173,5240285,29142398.82,424749.5
MG,2018,154615333.65854168,10909195.0,21810311.0,14603613.46205,193865.3646844727,,,5351586,5311185,30999108.950999998,206586.1
MG,2019,155728178.8349372,11425626.0,22020979.0,15100212.2681,211114.38980161143,,,5627003,5560336,29760306.745999996,511927.3
MG,2020,156907583.341498,11727162.0,22165606.0,14510662.34882,232289.76849072878,,,5833639,5800675,30022657.889000002,533350.4
MG,2021,166520812.04363894,12154860.0,22856143.0,15059858.32145,242725.8775768858,,,5997992,5944278,32993783.600999996,769141.0
MG,2022,165199757.31894073,12664229.0,22993105.0,15606775.89611,278217.76327789295,,,6265143,6249522,33462066.712000005,326338.4
MG,2023,169755224.1373726,13097210.0,22498415.0,16490852.04612,285368.5006399293,,,6680134,6679784,34219856.754,245587.0
MS,2004,101031387.39866675,548319.0,24715372.0,1600617.260775,166896.60258879408,,,3014269,2979375,866091.351,407636.4
MS,2005,90999457.24720035,595185.0,24504098.0,1466023.0831136,146789.82286154188,,,3121663,3009341,890115.979,966656.6
MS,2006,85784389.3417899,642860.0,23726290.0,1388107.59031024,129464.9270961486,23.653827949355104,1260.6000000000001,3009887,2998133,880239.141,210359.3
MS,2007,73673589.48534924,707021.0,21832001.0,1511504.611448332,102393.27668198248,24.29986958789776,1402.6,3038492,3031332,947406.0,756595.7000000001
MS,2008,74458628.58423772,780777.0,22365219.0,1714296.995235025,91632.09061772446,23.422025979945307,1300.0,3243122,3217211,1041540.0,222822.7
MS,2009,70513222.59969905,854735.0,22325663.0,1757893.8046186,77904.83381233519,23.457611803728696,1704.8,3211129,3100205,969974.0,365909.7
MS,2010,72152909.70690279,940955.0,22354077.0,1896036.2271346,77469.2649884216,23.495915886714474,1202.6,3250262,3248610,997740.0,446987.5
MS,2011,68103567.6110279,1029930.0,21553851.0,2029827.8980915,72492.7609155212,23.7107303877367,750.1999999999999,3502153,3439922,1053510.0,213740.2
MS,2012,69903183.30886544,1118858.0,21498382.0,2220173.4655056,73239.04961464234,23.997688190411115,1659.6000000000001,3818904,3816618,1152727.0,484465.2
MS,2013,72904933.43630342,1209609.0,21047274.0,2443636.8928413,72310.86405546263,23.473699256718124,1741.0,4323407,4315144,1346070.0,182618.0
MS,2014,72975237.07497579,1290979.0,21003830.0,2574918.19513,64912.33209419566,23.858390410958904,1523.8,4557084,4555459,1236451.0,84899.1
MS,2015,72569047.3972728,1353633.0,21357398.0,2554356.0409055,62375.26259248033,24.29342390683868,1513.0,4749875,4743631,1154696.0,243882.7
MS,2016,71978140.07689397,1403898.0,21800990.0,2439464.02987,73346.0827257629,23.5237639553429,1590.6,4945499,4899405,1083027.0,301249.4
MS,2017,71327805.95187014,1458423.0,21474693.0,2329181.70724,67491.64699279169,24.023524027459953,1694.1999999999998,5284089,5282706,1144361.0,293747.6
MS,2018,69768939.59222779,1518294.0,20896700.0,2405373.59422,64663.322955273434,23.714774186019376,1145.8,5476878,5467545,1251544.046,122948.2
